taxa,Aridity,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,Aspect,Elevation,Slope,Bulk,Clay,Coarse,Nitrogen,pH,Sand,Silt,Carbon,NeedleLeaf,Evergreen,Deciduous,Mixed,Shrubs,Herbaceous,DR,Species
Cirsium_lasal,0.66595,17.5833,119.583,33.8333,6949.17,193.333,-127.75,321.083,105.25,42.9167,109.917,-64.75,610.25,63.75,26.9167,17.6667,173.5,110.25,148.083,158.083,182.083,2855.33,8,1146.83,17.4167,21.75,167.231,54,37.75,36.4167,50.1667,40.8333,0,0.916667,16,0.75,22.5,0.745353504,Cirsium_lasal
Cirsium_murdockii,0.592156,3.88235,119.824,33.6471,7394.29,190.941,-140.706,331.647,-30.3529,33.9412,102.941,-82.1176,506.118,52.8235,33.4118,11.4706,143.118,112.118,118.353,129.412,129.059,2924.41,4.23529,1182.06,14.7059,24.2941,158.824,53.1176,47.5294,32.1176,42.0588,47.4706,0,0,17,3.88235,22.2353,0.745353504,Cirsium_murdockii
Cirsium_engelmannii,0.698167,175.901,125.407,35.0741,7798.49,345.741,-2.83951,348.58,213.543,96.8025,273.358,71.7037,956.691,128.309,49.0247,28.8148,317.556,171.309,214.679,175.333,164.358,186.901,0.395062,1574.9,25.8519,3.38272,95.75,63.0741,36.358,36.5926,24.8272,4.79012,0.0617284,5.67901,19,0.876543,36.1852,0.73144888,Cirsium_engelmannii
Cirsium_texanum,0.557293,193.858,127.661,38.877,6955.45,350.764,25.155,325.609,236.383,118.94,279.222,100.293,794.269,113.894,37.904,36.4326,273.613,136.237,194.637,141.14,155.014,283.666,0.590533,1600.99,29.8271,6.18107,102.294,70.316,38.9918,31.2749,26.9163,6.94016,0.491092,0.977159,16.7254,4.69529,38.0306,0.73144888,Cirsium_texanum
Cirsium_lecontei,1.1063,185.875,116.833,40.0278,6230.71,319.931,35.4444,284.486,257.833,151.597,262.181,103.028,1484.81,177.875,77.7361,23.9306,491.972,281.653,481.222,351.042,165.557,19,0.0597015,1468.03,13.8767,1.19178,281.016,49.4795,56.2877,28.4795,60,36.2192,5.0274,2.34247,30.4247,0.246575,1.9726,0.710142752,Cirsium_lecontei
Cirsium_nuttallii,0.897657,212.51,116.908,46.819,4863.39,327.275,78.4852,248.789,265.654,172.456,270.432,146.741,1307.5,195.881,51.2574,45.9314,543.142,185.062,528.905,221.022,172.429,17.4041,0.0384615,1406.04,8.61692,1.82154,819.757,55.0031,69.86,21.3062,90.1569,17.0968,5.4255,5.24578,23.977,1.00922,6.43472,0.710142752,Cirsium_nuttallii
Cirsium_hookerianum,1.02344,9.0443,122.604,33.2405,7878.75,202.275,-159.867,362.142,43.9272,-7.50949,109.171,-90.7943,593.665,75.8671,33.0696,25.7247,198.009,112.728,173.668,146.883,174.908,1747.31,6.51266,1074.76,13.9177,19.2563,217,56.6139,45.1297,40.6424,60.0601,45.4272,0,0.588608,14.3354,5.41456,14.0633,0.695839567,Cirsium_hookerianum
Cirsium_longistylum,0.636264,22.7037,133.519,36.5556,7286.04,217.556,-129.815,347.37,92.7037,-63.8519,119.481,-65.5556,543.815,82.7037,24.2222,38.6667,211.889,88.7778,178.926,88.7778,191.556,2012.19,4.44444,1082.52,15.5185,21.7778,162.778,55.037,41.037,39.7407,43.8148,77.5926,0,0,8.85185,0,9.85185,0.695839567,Cirsium_longistylum
Cirsium_coloradense,0.510001,34.2329,155.959,39.8037,8010.14,242.648,-143.014,385.662,94.8447,-25.8767,138.836,-65.9498,460.79,60.3562,23.4292,29.1872,160.47,79.5525,143.215,91.8493,177.664,2548.59,2.78082,1336.76,20.1187,17.2603,150.324,66.0502,45.5388,34.0137,38.0822,30.2466,0.0365297,0.219178,13.4977,13.7169,32.8493,0.685596897,Cirsium_coloradense
Cirsium_eatonii,0.657441,15.7714,130.686,36.2714,7568.57,213.286,-136.614,349.9,-57.2429,110.329,117.086,-72.6143,720.857,82.9143,36.8857,24.1571,233.3,121.171,122.586,226.1,153.87,2830.76,7.55714,1205.67,16.8406,24.7971,178.09,56.9565,45.2464,36.5942,49.2464,33.9714,0.0142857,3.31429,10.0714,8.92857,29.7,0.685596897,Cirsium_eatonii
Cirsium_ownbeyi,0.248367,58.5806,161.226,36.5484,8823.81,285.839,-135.581,421.419,96.5484,-55.1935,172.806,-55.1935,269.806,31.3226,13.3871,23.3226,83.5484,45.3548,71.3226,45.3548,174.032,1957.9,5.32258,1336.32,20.1613,21.129,118.323,74.0323,41.3871,35.4516,23.7742,6.12903,0.16129,0,13.4839,34.6129,37.9677,0.673257167,Cirsium_ownbeyi
Cirsium_ciliolatum,0.623363,87.2,147.72,44.2,5966.2,278.44,-39.84,318.28,19.04,165.24,166,16.28,625.08,107.64,8.48,58.28,295.24,45.92,47.84,267.64,191.24,926.84,4.4,1272.92,19,15.4,120.833,61.28,41.4,35.6,33,46.92,0.32,0.36,17.36,8.88,12.88,0.67133427,Cirsium_ciliolatum
Cirsium_cymosum,0.498129,82.7419,150.968,43.3226,6306.39,278.161,-55.871,334.032,11.871,164.839,166.065,7.09677,539.065,90.5161,8.45161,54.9355,245.419,36.7419,42.1613,238.387,194.452,1304.13,3.29032,1279.03,20.5484,17.2903,127.138,63.5806,43.2258,33.1935,31.3226,30.0645,0,1.67742,22.7742,15.0645,15.871,0.67133427,Cirsium_cymosum
Cirsium_tracyi,0.367678,65.1517,166.393,39.3365,8469.77,283.569,-132.27,415.839,131.199,58.654,174.455,-44.0142,408.796,47.7962,20.1659,22.5687,130.63,75.2133,106.355,94.0095,194.033,2139.13,3.66351,1393.23,22.5213,15.9763,142.156,71.3602,41.2796,35.7536,30.4502,21.9336,0.194313,0.905213,16.5877,16.0711,31.7204,0.658190204,Cirsium_tracyi
Cirsium_undulatum,0.455384,104.296,148.605,36.9441,8720.06,309.729,-89.9617,399.691,175.643,8.14768,216.161,-8.6051,520.345,83.7376,16.6837,51.5611,215.389,58.5418,181.08,64.2748,159.531,1077.63,1.70588,1467.4,25.0625,8.21185,124.114,71.144,38.2406,36.7664,26.7943,9.16701,0.0913204,0.191279,10.7906,11.9099,43.9144,0.658190204,Cirsium_undulatum
Cirsium_centaureae,0.606922,20.837,153.266,40.0345,7827.42,226.505,-150.135,376.639,63.7116,-25.069,123.16,-75.652,522.382,55.4922,31.4075,17.4734,156.147,106.301,146.301,112.342,164,2725.03,4.41379,1266.54,16.4107,20.8809,162.848,59.5016,49.3856,33.9342,45.0282,59.1944,0,1.51097,10.0627,1.68652,19.953,0.645742905,Cirsium_centaureae
Cirsium_scopulorum,1.13887,-21.3167,124.633,36.5583,7413.51,160.417,-172.583,333,-41.4583,-13.3417,77.1,-109.017,769.758,81.5,46.25,16.1417,229.575,159.575,197.317,183.492,144.75,3498.57,7.83333,1163.69,13.425,27.2167,187.081,53.8583,55.9417,29.9333,55.9417,37.1167,0.4,0.075,18.9417,4.73333,32.4333,0.645742905,Cirsium_scopulorum
Cirsium_flodmanii,0.536494,58.107,136.421,30.136,10791.4,284.603,-164.833,449.436,169.156,-80.3919,193.05,-85.393,491.107,82.7709,13.0035,56.6035,219.619,45.307,202.666,45.5721,172.128,833.943,0.787209,1408.43,23.7494,4.27273,168.541,70.359,41.4207,34.7949,41.0851,6.53721,0.0639535,1.02209,7.58605,4.17674,30.3535,0.629436711,Cirsium_flodmanii
Cirsium_culebraense,1.06719,-12.3636,125.545,37.5455,6103.55,145,-154.909,299.909,62.7273,-73.2727,67.1818,-86.8182,759.636,105.818,44.4545,28.7273,272.545,144.455,267,145.909,134.364,3364.45,7.09091,1079.09,14.4545,24.8182,175.75,49.7273,44.6364,31.6364,56.1818,37.4545,0,0,15.5455,9,27.4545,0.62757828,Cirsium_culebraense
Cirsium_scopulorum_pikes_peak,0.872481,-14.4444,127.5,36.6111,6935.06,157.722,-167.389,325.111,77,-95.6667,77,-98.2778,681.722,94.3889,33.3889,32.5,245.111,113.5,245.111,113.611,190.278,3307.61,7.72222,1184.89,13.5556,26,152.158,54.2778,55.4444,25.3889,53.8333,31.4444,0.5,0,20.8889,11.1111,29.5,0.62757828,Cirsium_scopulorum_pikes_peak
Cirsium_andersonii,0.900974,53.6434,139.91,44.006,6113.26,234.767,-78.6175,313.384,-10.7371,134.669,135.763,-15.9681,861.882,148.251,11.7709,68.2211,406.086,48.8625,53.506,400.5,171.719,2209.76,5.48008,1149.04,9.604,24.854,181.214,57.176,64.46,25.74,53.814,58.1713,0.063745,0.063745,18.3167,5.42829,11.755,0.626580192,Cirsium_andersonii
Cirsium_remotifolium,1.79389,75.9143,119.549,43.5714,5296.75,239.903,-32.1886,272.091,18.5257,145.629,146.92,13.7314,1510.31,256.691,18.2686,65.0343,728.634,94.5257,99.7943,674.44,155.733,901.309,3.875,1052.14,16.0452,17.8475,238.333,55.1073,46.226,37.2881,63.0395,68.2737,0.184358,0.905028,9.02793,2.45251,2.09497,0.626580192,Cirsium_remotifolium
Cirsium_americanum,0.61075,8.85714,153.171,39.2571,7678.51,205.029,-169.8,374.829,92.4857,-40.3429,108.571,-86.6571,508.571,63,27.5429,27.4,168.686,94.1429,162.343,103.971,157.629,2913.06,3.48571,1253.94,16.5714,22.1143,173.265,60.6286,49.4857,31.0857,45.9714,33.5714,0,0,15.7714,9.25714,35.2857,0.625405787,Cirsium_americanum
Cirsium_andrewsii,0.877445,116.882,98.2353,47.7647,3461.71,223.824,28,195.824,77.3529,157.412,161.235,74.2941,758.824,152.529,2.58824,79.6471,400,15.7647,25.4706,394.588,160.727,467.706,3.63636,1212.6,22.28,10.88,133.25,58.48,44.8,28.92,59.32,16.2941,0.0294118,1.23529,12.7647,0.852941,2.02941,0.624091282,Cirsium_andrewsii
Cirsium_douglasii,0.9811,110.3,124.8,50.25,4057.45,248.5,9.85,238.65,65.25,160.85,163.4,62.35,984.35,190.9,3.3,79.75,514.45,21.3,29.35,501.3,171.769,520.45,5.23077,1202.33,20.5238,15.2857,170.158,55.0476,43.8571,30.9524,50.5238,39.3333,0,0.857143,27.5238,2.19048,7.61905,0.624091282,Cirsium_douglasii
Cirsium_crassicaule,0.110493,160.308,144.231,41.1538,6267.62,336.308,15.6154,320.692,96.3077,239.308,239.308,79.7692,160.615,30.3846,0.0769231,73.1538,86.4615,2.69231,2.69231,79.4615,63.1667,71,0.0769231,1449.38,21.8462,2.76923,79.3636,73.3846,39.6154,30.8462,17.7692,3.30769,0,0,9.23077,40.0769,10.5385,0.622431999,Cirsium_crassicaule
Cirsium_validum,0.497726,111.783,120.391,46.3913,4722.26,254.739,3.91304,250.826,61.5652,164.13,176.783,59.2174,554.957,103,2.17391,78.0435,286.696,16.913,32.2609,275.261,163.524,1200.13,2.86364,1377.91,22.7826,13.087,105.636,64.7826,45.3913,27.6087,28.9565,28.3043,0,0,18,26.0435,11.8261,0.622431999,Cirsium_validum
Cirsium_clavatum,0.480501,25.5769,149.154,39.1154,7253.92,221.385,-139.346,360.731,77.1923,53.7692,121.654,-62.3846,462.962,55.9231,22.1154,21.1538,142.692,87.4615,123,115.577,151.885,2727.19,5.15385,1250,19.1923,24.0769,149.6,62.1923,41.8077,35.1154,32.8846,36.8846,0,0.346154,14.6154,11.5,21.6538,0.620931323,Cirsium_clavatum
Cirsium_edule,2.76668,47.6565,92.4967,36.9103,5555.12,191.449,-60.6893,252.138,-10.5821,110.974,121.074,-18.4726,1704.78,271.018,38.7374,53.8665,773.425,150.118,163.895,713.195,179.855,1092.74,7.63915,948.508,11.1624,19.7932,317.838,52.3101,51.3924,37.3481,91.8987,55.7353,0.052521,0.855042,17.5525,1.88235,5.61134,0.618763528,Cirsium_edule
Cirsium_peckii,0.612586,15.7907,148.488,41.4419,6570.67,217.163,-127.791,344.953,-49.6744,102.628,103.884,-60.9767,473.512,56.5581,18.6977,27.0698,160.349,71.4419,81.907,146.86,217.814,2413.07,5.2093,1159.7,18.6279,24.5581,215.786,60.5581,41.6279,37.5814,42.0233,14.6977,0,1.09302,13.6977,26.814,36.6512,0.618763528,Cirsium_peckii
Cirsium_scariosum,0.680209,18.7959,152.29,38.1633,8172.44,238.273,-154.339,392.612,14.5878,40.9592,124.984,-84.102,559.294,67.5102,30.2163,24.4,183.241,104.584,133.265,151.882,183.922,2068.28,3.25714,1201.94,15.8653,17.8694,170.756,60.1633,45.5714,38.2367,46.4653,42.0816,0.0897959,1.82041,12.4612,4.54694,22.8939,0.61466829,Cirsium_scariosum
Cirsium_virginense,0.103187,166.455,143.727,35.1818,8028.18,363.091,-4.36364,367.455,85,203.818,271.818,66,149.091,19,3.45455,31.4545,53.2727,19.5455,31,46.2727,180.636,602,1.72727,1361.36,16.6364,12.7273,39.7273,73.6364,48.1818,26.1818,9.09091,0,1.54545,0,6.18182,60.4545,8.54545,0.611996525,Cirsium_virginense
Cirsium_walapaiorum,0.127046,167.5,158.562,39.75,7679.56,365.75,-3,368.75,250.875,200.562,268.375,72.5625,185.188,26.3125,3.9375,35.875,62.3125,20.375,48.625,53.0625,176.062,625.875,5.5625,1411.62,21.375,30.0625,54.125,73.75,44.875,27.4375,12.625,1.8125,0,0,3,80.3125,8.375,0.611996525,Cirsium_walapaiorum
Cirsium_griseum_griseum,0.515634,10.6923,156.231,36.8462,7854,207.308,-180.308,387.615,38.9231,22.9231,110.231,-90.5385,483.154,51.0769,26.4615,16.3846,141.692,96,124.385,125.923,169.077,2628.77,5.92308,1165.15,17.9231,21.3077,190.846,55.7692,39.8462,34.6154,44,35.4615,0,4.92308,13.6923,4.92308,22.5385,0.611532256,Cirsium_griseum_griseum
Cirsium_funkiae,1.11929,-17.055,134.505,38.4128,7278.22,162.44,-179.56,342,42.3945,-32.3028,78.1651,-104.872,753.275,88.844,44.5046,22.7064,234.339,151.734,221.239,174.789,169.89,3583.52,8.26606,1179.79,15.2752,28.7706,179.46,56.633,50.6606,33.2752,55.2661,33.3761,0.183486,0.0275229,19.1651,10.4679,31.3853,0.608247451,Cirsium_funkiae
Cirsium_hesperium,1.2695,-19.5909,140.136,39.0909,6825.14,154.773,-182.136,336.909,34.5455,4.86364,68.7727,-101.364,888.727,96.4545,40.4545,20.4545,255.045,153.591,220.727,238.545,156.727,3510.14,6.31818,1089.09,14.8182,29.5455,180.96,51.2727,46.0909,34.9545,60.2273,26.6364,0,0,25.5909,6.86364,27.3636,0.608247451,Cirsium_hesperium
Cirsium_fontinale_campylon,0.517447,143.558,140.094,49.8478,4902.64,303.362,25.5145,277.848,85.9565,205.319,208.051,84.942,580.957,115.964,1.5942,85.7609,303.464,7.30435,12.9928,303.333,177.638,438.906,4.06522,1450.72,25.8551,14.2029,112.112,65.2174,40.0797,33.4348,28.5362,18.413,0.101449,2.3913,46.1014,6.18841,8.67391,0.600013265,Cirsium_fontinale_campylon
Cirsium_ochrocentrum,0.324996,124.87,165.558,42.9787,7807.95,320.005,-62.7561,382.761,210.258,64.114,225.933,25.4175,418.89,76.0373,10.0937,62.3781,196.412,37.1097,175.89,52.9936,157.866,1454.98,1.377,1489.74,26.7955,10.0298,95.3552,75.1108,42.7274,30.4718,17.7551,5.84132,0.0532481,0.0223642,12.1086,28.7806,36.1459,0.595054153,Cirsium_ochrocentrum
Cirsium_griseum_osterhoutii,0.79176,-6.69444,144.241,38.2593,7786.53,186.602,-181.806,368.407,20.6852,13.3981,94.713,-101.722,625.509,66.5185,36.4167,16.3704,178.213,130.981,161.639,157.833,187.139,3262.02,6.53704,1182.52,15.0093,27.7407,163.407,54.0278,49.6204,34.5185,54.9074,38.7778,0.12963,0.796296,18.9722,4.83333,27.9444,0.586736549,Cirsium_griseum_osterhoutii
Cirsium_congdonii,0.380765,46.6,144.971,42.4,6334.54,232.057,-96.0571,328.114,-15.8857,109.771,131.886,-27.4,354.171,53.0857,14.0857,40.2571,142.429,48.8286,51.5429,138.657,113.343,2397.86,3.05714,1309.34,17,22.1429,134.061,69.6,52.4,27.7429,25.4571,12.7714,0,0,17.2857,30.5714,29.4857,0.581654969,Cirsium_congdonii
