species,corolla_throat,duration,glutinous,habit,head
Cirsium_americanum,1,0,0,0,0
Cirsium_andersonii,1,0,0,1,0
Cirsium_andrewsii,1,1,0,1,0
Cirsium_arizonicum_arizonicum,0,0,0,1,0
Cirsium_arizonicum_rothrockii,0,0,0,1,0
Cirsium_brevifolium,1,0,1,1,0
Cirsium_canescens,1,1,1,1,0
Cirsium_centaureae,1,0,1,1,0
Cirsium_ciliolatum,1,0,1,1,0
Cirsium_clavatum,1,0,1,1,0
Cirsium_clokeyi,1,0,0,1,0
Cirsium_coloradense,1,0,0,1,0
Cirsium_congdonii,1,0,0,0,0
Cirsium_conspicuum,1,0,0,1,1
Cirsium_crassicaule,1,1,0,1,0
Cirsium_culebraense,1,0,0,1,0
Cirsium_cymosum,1,1,1,1,0
Cirsium_douglasii,1,1,1,1,0
Cirsium_eatonii,1,0,0,1,0
Cirsium_edule,1,1,0,1,0
Cirsium_engelmannii,1,1,1,1,0
Cirsium_flodmanii,1,0,1,1,0
Cirsium_fontinale_campylon,1,0,0,1,1
Cirsium_funkiae,1,0,0,1,1
Cirsium_grahamii,1,1,1,1,0
Cirsium_griseum_griseum,1,0,0,1,0
Cirsium_griseum_osterhoutii,1,0,0,1,0
Cirsium_hesperium,1,0,0,1,0
Cirsium_hookerianum,1,1,0,1,0
Cirsium_inamoenum,1,1,0,1,0
Cirsium_joannae,1,0,0,1,0
Cirsium_lasal,1,1,0,1,0
Cirsium_lecontei,1,0,1,1,0
Cirsium_longistylum,1,0,0,1,0
Cirsium_mohavense,1,1,1,1,0
Cirsium_murdockii,1,0,0,1,0
Cirsium_neomexicanum,1,1,1,1,0
Cirsium_nuttallii,1,1,1,1,0
Cirsium_occidentale_candidissimum,1,1,0,1,0
Cirsium_ochrocentrum,1,0,1,1,0
Cirsium_ownbeyi,1,0,0,1,0
Cirsium_peckii,1,0,0,1,0
Cirsium_pulchellum,0,0,0,1,0
Cirsium_remotifolium,1,0,0,1,0
Cirsium_repandum,1,0,1,1,0
Cirsium_rydbergii,1,0,0,1,0
Cirsium_scariosum,1,1,0,1,0
Cirsium_scopulorum,1,0,0,1,1
Cirsium_scopulorum_pikes_peak,1,0,0,1,0
Cirsium_tenuisectum,0,0,0,1,0
Cirsium_texanum,1,1,1,1,0
Cirsium_tracyi,1,0,1,1,0
Cirsium_turneri,1,0,0,1,0
Cirsium_tweedyi,1,0,0,1,0
Cirsium_undulatum,1,0,1,1,0
Cirsium_validum,1,0,0,0,0
Cirsium_vinaceum,1,0,0,1,1
Cirsium_viperinum,1,0,0,1,0
Cirsium_virginense,1,1,1,1,0
Cirsium_vulgare,1,1,0,1,0
Cirsium_walapaiorum,1,1,1,1,0
Cirsium_wheeleri,1,0,1,1,0
Cirsium_wrightii,1,1,1,1,0
